name,note,source,group,subgroup
108 Plum Blossoms,"Forces 2, Correspondence 2",Dragons of the East page 59; Enlightened Grimoire p. 60,Enhanced Combat,
Abundance,Correspondence 2,Tradition Book: Celestial Chorus (Revised) page 57; Mage: The Ascension Revised page 159; Enlightened Grimoire p. 84,Inanimate Objects,
Accelerate Time,Time 3,Mage: The Ascension First Edition page 218; Mage: The Ascension Second Edition page 223; Enlightened Grimoire p. 145,Space-Time Management,
Accelerated Aging,"Life 3, Time 3",Convention Book: Progenitors (Revised) page 72; Enlightened Grimoire p. 71,Healing and Harming,
Ace of Diamonds,"Entropy 3, Prime 1",The Spirit Ways page 90; Guide to the Technocracy page 209; Enlightened Grimoire p. 13,Blessings and Curses,
Actively Actuarial,Entropy 2,Guide to the Technocracy page 208; Enlightened Grimoire p. 13,Blessings and Curses,
Adad,"Entropy 2, Correspondence 2, Spirit 1",Dead Magic page 53; Enlightened Grimoire p. 25,Divination and Fate,
Adjust Major Anomalies,Mind 3,Technocracy: Void Engineers page 44; Enlightened Grimoire p. 75,Healing and Harming,
Adjust Minor Anomalies,Mind 2,Technocracy: Void Engineers page 44; Enlightened Grimoire p. 75,Healing and Harming,
Agrivelopment,"Life 3, Matter 3",Convention Book: Progenitors (Revised) page 73; Enlightened Grimoire p. 167,Transformations,
AI (Artificial Intelligence),Mind 5,Mage: The Ascension Second Edition page 211; Enlightened Grimoire p. 23,Computers,
Akua Kumu Haka (Guided Fireball),"Forces 3, Prime 2, Spirit 3, optional Correspondence 2",Dead Magic 2 page 26; Enlightened Grimoire p. 40,Elemental Magick,
Ala Wai (Short Waters),Correspondence 3,Dead Magic 2 page 27; Enlightened Grimoire p. 99,Movement and Communication,
All Tomorrow's Parties,"Mind 3, Time 2",Orphan’s Survival Guide page 127; Enlightened Grimoire p. 29,Divination and Fate,
Allergic Reaction,"Entropy 4, Life 4, Prime 3",World of Darkness: Outcasts page 90; Enlightened Grimoire p. 71,Healing and Harming,
Alley Vanish,"Correspondence 3, Mind 2",Tradition Book: Hollow Ones (Revised) page 61; Enlightened Grimoire p. 110,Movement and Communication,
Alter Simple Creature,Life 2,Mage: The Ascension Revised page 170; Enlightened Grimoire p. 167,Transformations,
Alter Small Sequence,Life 2,Technocracy: Progenitors page 43; Enlightened Grimoire p. 167,Transformations,
Alter State,Matter 5,Mage: The Ascension First Edition page 203; Mage: The Ascension Second Edition page 206; Mage: The Ascension Second Edition page 207; Mage: The Ascension Revised page 174; Enlightened Grimoire p. 81,Inanimate Objects,
An Hour in Hellfire,"Mind 3, Time 3",Infernalism: The Path of Screams page 86; Enlightened Grimoire p. 145,Space-Time Management,
Ana'ana (The Death Prayer),"Correspondence 3, Life 3 or Spirit 3",Dead Magic 2 page 27; Enlightened Grimoire p. 71,Healing and Harming,
Analyze Substance,Matter 1,Mage: The Ascension First Edition page 202; Mage: The Ascension Second Edition page 206; Mage: The Ascension Revised page 173; Enlightened Grimoire p. 84,Inanimate Objects,
Animal Form,Life 5,Mage: The Ascension First Edition page 201; Mage: The Ascension Second Edition page 203; Mage: The Ascension Revised page 171; Enlightened Grimoire p. 171,Transformations,
Animal Possession,"Mind 4, optional Correspondence 2",The Spirit Ways page 92; Enlightened Grimoire p. 188,Uncanny Influence,
Animal Riding,"Mind 3, optional Correspondence 2",The Spirit Ways page 89; Enlightened Grimoire p. 188,Uncanny Influence,
Animal Shift,Life 4,Dead Magic page 50; Enlightened Grimoire p. 171,Transformations,
Ansu Ishten,"Entropy 3, Matter 3, optional Life 3",Dead Magic page 56; Enlightened Grimoire p. 9,Blessings and Curses,
Anunnaku,"Entropy 3, Prime 3, Spirit 3",Dead Magic page 54; Enlightened Grimoire p. 30,Divination and Fate,
"Ap-Sobk, ""Last Judgment of Sobk""",Spirit 4,Book of Crafts page 58; Enlightened Grimoire p. 156,"Summoning, Binding and Warding",
Apathy,"Entropy 3, Mind 2",Hidden Lore page 13; World of Darkness: Outcasts page 91; Enlightened Grimoire p. 181,Uncanny Influence,
Aphrodite's Blessing,Life 2,Tradition Book: Cult of Ecstasy (First Edition) page 65; Enlightened Grimoire p. 73,Healing and Harming,
Apportation,"Correspondence 2, Forces 2",Mage: The Ascension Second Edition page 189; Enlightened Grimoire p. 85,Inanimate Objects,
Arashi-Waza,"Correspondence 2, Forces 2, Time 3",Tradition Book: Akashic Brotherhood (Revised) page 68; Enlightened Grimoire p. 61,Enhanced Combat,
Arrest the Flight of Arrows,Forces 2,Tradition Book: Verbena (Revised) page 64; Enlightened Grimoire p. 57,Enhanced Combat,
Audience of Inanna,"Correspondence 2, Matter 2, Time 1",Dead Magic page 57; Enlightened Grimoire p. 23,Computers,
Augment Simple Lifeform,"Life 2; Life 2, optional Prime 2",Technocracy: Progenitors page 41; Enlightened Grimoire p. 168,Transformations,
Auric Trail,"Correspondence 1 or 2, Prime 1, Spirit 1 or 2",Infinite Tapestry page 181; Enlightened Grimoire p. 33,Divination and Fate,
Avatar Form,"Life 4, Prime 2, Mind 2",Book of Shadows page 138; Enlightened Grimoire p. 171,Transformations,
Awaken Flame,"Forces 2 or 3, Spirit 3, optional Prime 2",The Spirit Ways page 87; Enlightened Grimoire p. 40,Elemental Magick,
