Name,Name-PT,Type,Type-PT,Subtype,Subtype-PT,Group,Group-PT,Control,Control-PT,Rtg,lNum,lName,,Cost,Source,Source-PT,Prerequsites,Description,Description-PT,House Rules,OrgRef
Primal Urge,Impulso Primal,Ability,Habilidade,Changing Breeds,,,,,,,,,,1,Laws of the Wild Revised,,,,,,
Rituals,Rituais,Ability,Habilidade,Changing Breeds,,,,,,,,,,1,Laws of the Wild Revised,,,,,,
Academics,Ciências Acadêmicas,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Animal Ken,Empatia Animal,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Athletics,Atletismo,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Awareness,Percepção,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Blindfighting,Luta às Cegas,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Brawl,Briga,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Computer,Computação,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Crafts,Artesanato,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Dodge,Esquiva,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Drive,Direção,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Empathy,Empatia,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Enigmas,Enigmas,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Wild Revised,,,,,,
Etiquette,Etiqueta,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Expression,Expressão,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Finance,Finanças,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Fire Dancing,Dança do Fogo,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Firearms,Armas de Fogo,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Fortune-telling,Adivinhação,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Hobby/Professional/Expert,Passatempo/Profissional/Especialista,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Hunting,Caça,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Camarilla Guide,,,,,,
Intimidation,Intimidação,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Investigation,Investigação,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Law,Direito,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Leadership,Liderança,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Linguistics,Linguística,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Medicine,Medicina,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Meditiation,Meditação,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Wild Revised,,,,,,
Melee,Combate Corpo a Corpo,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Occult,Ocultismo,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Performance,Performance,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Politics,Política,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Psychology,Psicologia,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Camarilla Guide,,,,,,
Repair,Reparo,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Science,Ciência,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Scrounge,Aproveitador,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Security,Segurança,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Stealth,Furtividade,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised,,,,,,
Streetwise,Malandragem,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Subterfuge,Subterfúgio,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Survival,Sobrevivência,Ability,Habilidade,General,Geral,,,,,,,,,1,Laws of the Night Revised; Laws of the Wild Revised,,,,,,
Torture,Tortura,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Vamp,Sedutor,Ability,Habilidade,General,Geral,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Rituals,Rituais,Ability,Habilidade,Vampire,Vampiro,,,,,,,,,1,MET Storyteller's Guide,,,,,,
Abuser,Abusador,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Abuser,Abusador,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Abuser,Abusador,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Activist,Ativista,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension M20,,,,,,
Activist,Ativista,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Addict,Viciado,Archetype,Arquétipo,,,,,,,,,,,0,Vampire Players Guide,,,,,,
Addict,Viciado,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Addict,Viciado,Archetype,Arquétipo,,,,,,,,,,,0,Guildbook: Puppeteers and Pardoners,,,,,,
Addict,Viciado,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Addict,Viciado,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Agent,Agente,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Agent,Agente,Archetype,Arquétipo,,,,,,,,,,,0,Dark Reflections Spectres,,,,,,
Alien,Alienígena,Archetype,Arquétipo,,,,,,,,,,,0,The Book of Oblivion ,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf Players Guide,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld West,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Alpha,Alfa,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Analyst,Analista,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Analyst,Analista,Archetype,Arquétipo,,,,,,,,,,,0,The Hierarchy ,,,,,,
Anarchist,Anarquista,Archetype,Arquétipo,,,,,,,,,,,0,The Hierarchy ,,,,,,
Anarchist,Anarquista,Archetype,Arquétipo,,,,,,,,,,,0,Anarchs Unbound V20,,,,,,
Ancient,Ancestral,Archetype,Arquétipo,,,,,,,,,,,0,Blood & Silk,,,,,,
Arbitrator,Árbitro,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld West,,,,,,
Arbitrator,Árbitro,Archetype,Arquétipo,,,,,,,,,,,0,The Wild West Companion,,,,,,
Arcadian,Arcadiano,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Book of Secrets M20,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Resurrection,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Hunt Player's Guide,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld West,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Mage Sorcerer's Crusade,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Architect,Arquiteto,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Artist,Artista,Archetype,Arquétipo,,,,,,,,,,,0,Blood & Silk,,,,,,
Artist,Artista,Archetype,Arquétipo,,,,,,,,,,,0,Book of Secrets M20,,,,,,
Artiste,Artista,Archetype,Arquétipo,,,,,,,,,,,0,Victorian Age Vampire,,,,,,
Aspirant,Aspirante,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Au Courant,Antenado,Archetype,Arquétipo,,,,,,,,,,,0,Wraith the Great War,,,,,,
Autist,Autista,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Autist,Autista,Archetype,Arquétipo,,,,,,,,,,,0,The Players Guide,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,The Long Night,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Inquisitor,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Vampire,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,The Players Guide,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Autocrat,Autocrata,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,The Players Guide,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Resurrection,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Avant-Guard,Vanguarda,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Avarice,Avareza,Archetype,Arquétipo,,,,,,,,,,,0,Devil's Due,,,,,,
Bandit,Bandido,Archetype,Arquétipo,,,,,,,,,,,0,Kindred of the East,,,,,,
Bandit,Bandido,Archetype,Arquétipo,,,,,,,,,,,0,Laws of The East,,,,,,
Barbarian,Bárbaro,Archetype,Arquétipo,,,,,,,,,,,0,The Long Night,,,,,,
Barbarian,Bárbaro,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Vampire,,,,,,
Barbarian,Bárbaro,Archetype,Arquétipo,,,,,,,,,,,0,Kindred of the East,,,,,,
Barbarian,Bárbaro,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Barbarian,Bárbaro,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Barterer,Comerciante,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Beast,Fera,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming,,,,,,
Beast,Fera,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Beast,Fera,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Beast,Fera,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Benefactor,Benfeitor,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension M20,,,,,,
Benefactor,Benfeitor,Archetype,Arquétipo,,,,,,,,,,,0,Mage Sorcerer's Crusade,,,,,,
Beta,Beta,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Big Bad Wolf,Lobo Mau,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Black Widow,Viúva Negra,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
Bogle,Bogle,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide for Changeling the Dreaming,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Book of Secrets M20,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Bon Vivant,Bon Vivant,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Brave,Corajoso,Archetype,Arquétipo,,,,,,,,,,,0,Shadow Player's Guide,,,,,,
Brave,Corajoso,Archetype,Arquétipo,,,,,,,,,,,0,Renegades,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf Players Guide,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Dark Ages Inquisitor,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Demon the Fallen,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Hunter the Reckoning,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Ascension,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of Resurrection,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the East,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Reckoning,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Laws of the Wyld West,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Mage the Ascension,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Oblivion,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Orpheus,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Players Guide to Garou,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Dark Ages V20,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Vampire the Masquerade,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Vampire The Masquerade V20,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Werewolf the Apocalypse W20,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 20,,,,,,
Bravo,Bravo,Archetype,Arquétipo,,,,,,,,,,,0,Wraith 2nd,,,,,,
Brute,Bruto,Archetype,Arquétipo,,,,,,,,,,,0,Changeling the Dreaming C20,,,,,,
