name,translation
"Primal Urge","Impulso Primal"
Rituals,Rituais
Academics,"Ciências Acadêmicas"
"Animal Ken","Empatia Animal"
Athletics,Atletismo
Awareness,Percepção
Blindfighting,"Luta às Cegas"
Brawl,Briga
Computer,Computação
Crafts,Artesanato
Dodge,Esquiva
Drive,Direção
Empathy,Empatia
Enigmas,Enigmas
Etiquette,Etiqueta
Expression,Expressão
Finance,Finanças
"Fire Dancing","Dança do Fogo"
Firearms,"Armas de Fogo"
Fortune-telling,Adivinhação
Hobby/Professional/Expert,Passatempo/Profissional/Especialista
Hunting,Caça
Intimidation,Intimidação
Investigation,Investigação
Law,Direito
Leadership,Liderança
Linguistics,Linguística
Medicine,Medicina
Meditiation,Meditação
Melee,"Combate Corpo a Corpo"
Occult,Ocultismo
Performance,Performance
Politics,Política
Psychology,Psicologia
Repair,Reparo
Science,Ciência
Scrounge,Aproveitador
Security,Segurança
Stealth,Furtividade
Streetwise,Malandragem
Subterfuge,Subterfúgio
Survival,Sobrevivência
Torture,Tortura
Vamp,Sedutor
Rituals,Rituais
Abuser,Abusador
Abuser,Abusador
Abuser,Abusador
Activist,Ativista
Activist,Ativista
Addict,Viciado
Addict,Viciado
Addict,Viciado
Addict,Viciado
Addict,Viciado
Agent,Agente
Agent,Agente
Alien,Alienígena
Alpha,Alfa
Alpha,Alfa
Alpha,Alfa
Alpha,Alfa
Alpha,Alfa
Alpha,Alfa
Analyst,Analista
Analyst,Analista
Anarchist,Anarquista
Anarchist,Anarquista
Ancient,Ancestral
Arbitrator,Árbitro
Arbitrator,Árbitro
Arcadian,Arcadiano
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
Architect,Arquiteto
